id,ground_truth_action,ground_truth_product,ground_truth_quantity,tier_0_clean,tier_1_lexical,tier_2_conversational,tier_3_cognitive
cmd_0001,update,orange juice,1,Update orange juice to 1.,update orange juc to 1 pls,"Hey, I changed my mind, can you update 1 orange juice?","Update 4 orange juice... wait, actually make it 1."
cmd_0002,update,wireless mouse,9,Update wireless mouse to 9.,update wireless mouse to 9 pls,"Alright, so I also want to update 9 wireless mouse.","I need 10 wireless mouse, hold on, change that to 9."
cmd_0003,add,headphones,6,Add 6 headphones.,add 6 headphones rn,"Uhm, let me see... could you please add 6 headphones?","Add 8 headphones... wait, actually make it 6."
cmd_0004,remove,apples,9,Remove 9 apples.,remove 9 apples rn,"Uhm, let me see... could you please remove 9 apples?","Put 7 apples in there... actually no, remove 9 instead."
cmd_0005,remove,apples,4,Remove 4 apples.,remove 4 apples rn,"So, uh, for the apples, let's remove 4.","I need 3 apples, hold on, change that to 4."
cmd_0006,update,toothbrush,2,Update toothbrush to 2.,update tothbrush to 2,"Oh, I almost forgot, please update 2 toothbrush.","Put 4 toothbrush in there... actually no, update 2 instead."
cmd_0007,add,paper towels,7,Add 7 paper towels.,add 7 paper towels,"Alright, so I also want to add 7 paper towels.","Put 9 paper towels in there... actually no, add 7 instead."
cmd_0008,remove,eggs,4,Remove 4 eggs.,remove 4 eggs,"So, uh, for the eggs, let's remove 4.","Put 3 eggs in there... actually no, remove 4 instead."
cmd_0009,update,tomato sauce,2,Update tomato sauce to 2.,update tomato sac to 2 rn,"Umm, could you go ahead and update 2 tomato sauce?","Update 4 tomato sauce... wait, actually make it 2."
cmd_0010,update,garlic,5,Update garlic to 5.,update garlic to 5 pls,"I was thinking, maybe update 5 garlic to the list.","Put 6 garlic in there... actually no, update 5 instead."
cmd_0011,update,bananas,5,Update bananas to 5.,update bananas to 5 pls,"Oh, I almost forgot, please update 5 bananas.","Update 8 bananas... wait, actually make it 5."
cmd_0012,update,paper towels,8,Update paper towels to 8.,updt paper towels to 8 rn,"Alright, so I also want to update 8 paper towels.","Put 6 paper towels in there... actually no, update 8 instead."
cmd_0013,add,toothpaste,8,Add 8 toothpaste.,add 8 toothpaste,"Umm, could you go ahead and add 8 toothpaste?","I need 7 toothpaste, hold on, change that to 8."
cmd_0014,remove,toothpaste,6,Remove 6 toothpaste.,remove 6 toothpste pls,"Uhm, let me see... could you please remove 6 toothpaste?","Put 4 toothpaste in there... actually no, remove 6 instead."
cmd_0015,add,gluten-free bread,6,Add 6 gluten-free bread.,add 6 gluten-free bread pls,"Umm, could you go ahead and add 6 gluten-free bread?","Add gluten-free bread, let's say 9 of them... wait, double check that, just do 6."
cmd_0016,add,pasta,7,Add 7 pasta.,add 7 pasta,"I was thinking, maybe add 7 pasta to the list.","Add 5 pasta... wait, actually make it 7."
cmd_0017,add,coffee beans,6,Add 6 coffee beans.,add 6 cffee beans rn,"Oh, I almost forgot, please add 6 coffee beans.","Add 9 coffee beans... wait, actually make it 6."
cmd_0018,add,conditioner,9,Add 9 conditioner.,add 9 conditioner rn,"Alright, so I also want to add 9 conditioner.","Put 11 conditioner in there... actually no, add 9 instead."
cmd_0019,remove,dark chocolate bar,3,Remove 3 dark chocolate bar.,remove 3 dark chocolate bar,"Oh, I almost forgot, please remove 3 dark chocolate bar.","Remove dark chocolate bar, let's say 6 of them... wait, double check that, just do 3."
cmd_0020,add,wireless mouse,5,Add 5 wireless mouse.,add 5 wireless mouse,"Uhm, let me see... could you please add 5 wireless mouse?","Add 8 wireless mouse... wait, actually make it 5."
cmd_0021,add,Greek yogurt,10,Add 10 Greek yogurt.,add 10 greek yogurt,"Uhm, let me see... could you please add 10 Greek yogurt?","Add 13 Greek yogurt... wait, actually make it 10."
cmd_0022,remove,toothpaste,10,Remove 10 toothpaste.,remove 10 toothpaste,"So, uh, for the toothpaste, let's remove 10.","Put 12 toothpaste in there... actually no, remove 10 instead."
cmd_0023,update,conditioner,5,Update conditioner to 5.,update conditioner to 5,"Uhm, let me see... could you please update 5 conditioner?","Put 3 conditioner in there... actually no, update 5 instead."
cmd_0024,update,running shoes,3,Update running shoes to 3.,update running shoes to 3,"Umm, could you go ahead and update 3 running shoes?","Update 6 running shoes... wait, actually make it 3."
cmd_0025,update,chicken breast,5,Update chicken breast to 5.,update chcken breast to 5 pls,"Hey, I changed my mind, can you update 5 chicken breast?","Put 6 chicken breast in there... actually no, update 5 instead."
cmd_0026,update,shampoo,5,Update shampoo to 5.,update shampoo to 5,"Uhm, let me see... could you please update 5 shampoo?","I need 3 shampoo, hold on, change that to 5."
cmd_0027,add,shampoo,5,Add 5 shampoo.,add 5 shampoo rn,"I was thinking, maybe add 5 shampoo to the list.","Add 4 shampoo... wait, actually make it 5."
cmd_0028,remove,salmon fillet,9,Remove 9 salmon fillet.,remov 9 salmon fillet pls,"Hey, I changed my mind, can you remove 9 salmon fillet?","I need 7 salmon fillet, hold on, change that to 9."
cmd_0029,update,green tea,10,Update green tea to 10.,update green tea to 10 pls,"Alright, so I also want to update 10 green tea.","Put 8 green tea in there... actually no, update 10 instead."
cmd_0030,update,laundry detergent,7,Update laundry detergent to 7.,update laundry detergent to 7 pls,"Oh, I almost forgot, please update 7 laundry detergent.","Update laundry detergent, let's say 5 of them... wait, double check that, just do 7."
cmd_0031,add,wireless mouse,8,Add 8 wireless mouse.,add 8 wireless mouse,"So, uh, for the wireless mouse, let's add 8.","I need 6 wireless mouse, hold on, change that to 8."
cmd_0032,remove,conditioner,9,Remove 9 conditioner.,remove 9 conditioner rn,"So, uh, for the conditioner, let's remove 9.","I need 8 conditioner, hold on, change that to 9."
cmd_0033,add,bananas,10,Add 10 bananas.,add 10 bananas,"Alright, so I also want to add 10 bananas.","Put 13 bananas in there... actually no, add 10 instead."
cmd_0034,remove,gluten-free bread,7,Remove 7 gluten-free bread.,rmv 7 gluten-free bread pls,"I was thinking, maybe remove 7 gluten-free bread to the list.","I need 8 gluten-free bread, hold on, change that to 7."
cmd_0035,update,orange juice,5,Update orange juice to 5.,update orange juice to 5 pls,"I was thinking, maybe update 5 orange juice to the list.","Put 7 orange juice in there... actually no, update 5 instead."
cmd_0036,update,ground beef,5,Update ground beef to 5.,update ground beef to 5,"Alright, so I also want to update 5 ground beef.","Put 7 ground beef in there... actually no, update 5 instead."
cmd_0037,update,pasta,3,Update pasta to 3.,update pasta to 3 pls,"Oh, I almost forgot, please update 3 pasta.","I need 2 pasta, hold on, change that to 3."
cmd_0038,add,wireless mouse,3,Add 3 wireless mouse.,add 3 wireless mouse pls,"Alright, so I also want to add 3 wireless mouse.","Put 6 wireless mouse in there... actually no, add 3 instead."
